algorithm_name,size,ce=0.3,ce=0.6,ce=0.9
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,86.0,115.0,125.0
simulated_annealing,100,87.0,116.0,126.0
simulated_annealing,100,87.0,116.0,126.0
simulated_annealing,100,87.0,116.0,126.0
simulated_annealing,100,87.0,116.0,126.0
simulated_annealing,100,87.0,116.0,126.0
simulated_annealing,100,87.0,116.0,126.0
simulated_annealing,100,87.0,116.0,126.0
simulated_annealing,100,87.0,116.0,126.0
simulated_annealing,100,87.0,116.0,126.0
simulated_annealing,100,87.0,116.0,126.0
simulated_annealing,100,87.0,116.0,126.0
simulated_annealing,100,87.0,116.0,126.0
simulated_annealing,100,87.0,116.0,126.0
simulated_annealing,100,87.0,116.0,126.0
simulated_annealing,100,88.0,117.0,127.0
simulated_annealing,100,88.0,117.0,127.0
simulated_annealing,100,88.0,117.0,127.0
simulated_annealing,100,88.0,118.0,128.0
simulated_annealing,100,88.0,118.0,128.0
simulated_annealing,100,88.0,118.0,128.0
simulated_annealing,100,89.0,118.0,128.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,89.0,119.0,129.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
simulated_annealing,100,90.0,120.0,130.0
